genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	source					1	4700560	+	4700560								
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.1	ECIAI1_0002	VBIEscCol26572_0001	B7M099	666	2798	+	2133	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	FIG01290007	PLF_561_00000844	PGF_04992191	GO:0004072|aspartate kinase activity;GO:0004412|homoserine dehydrogenase activity	1.1.1.3|Homoserine dehydrogenase;2.7.2.4|Aspartate kinase	00260|Glycine, serine and threonine metabolism;00260|Glycine, serine and threonine metabolism;00270|Cysteine and methionine metabolism;00270|Cysteine and methionine metabolism;00300|Lysine biosynthesis;00300|Lysine biosynthesis
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.2	ECIAI1_0003	VBIEscCol26572_0002	B7M0A0	2800	3732	+	933	thrB	Homoserine kinase (EC 2.7.1.39)	FIG00000582	PLF_561_00003088	PGF_00012356	GO:0004413|homoserine kinase activity	2.7.1.39|Homoserine kinase	00260|Glycine, serine and threonine metabolism
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.3	ECIAI1_0004	VBIEscCol26572_0003	B7M0A1	3733	5019	+	1287	thrC	Threonine synthase (EC 4.2.3.1)	FIG00000134	PLF_561_00001305	PGF_03316046	GO:0004795|threonine synthase activity	4.2.3.1|Threonine synthase	00260|Glycine, serine and threonine metabolism;00750|Vitamin B6 metabolism
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.4	ECIAI1_0005	VBIEscCol26572_0004	B7M0A2	5233	5529	+	297	yaaX	Uncharacterized protein YaaX	FIG00638753	PLF_561_00004160	PGF_00065383			
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.5	ECIAI1_0006	VBIEscCol26572_0005	B7M0A3	5682	6458	-	777	yaaA	UPF0246 protein YaaA	FIG00002158	PLF_561_00002041	PGF_00064270			
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.6	ECIAI1_0007	VBIEscCol26572_0006	B7M0A4	6528	7958	-	1431	yaaJ	Putative alanine/glycine transport protein	FIG01308486	PLF_561_00000863	PGF_00040088			
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.7	ECIAI1_0009	VBIEscCol26572_0007	B7M0A5	8306	9190	+	885	talB	Transaldolase (EC 2.2.1.2)	FIG00000023	PLF_561_00002139	PGF_00057399	GO:0004801|transaldolase activity	2.2.1.2|Transaldolase	00030|Pentose phosphate pathway
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.8	ECIAI1_0010	VBIEscCol26572_0008	B7M0A6	9305	9892	+	588	mogA	Molybdopterin adenylyltransferase (EC 2.7.7.75)	FIG00002951	PLF_561_00002926	PGF_00022507	GO:0061598|molybdopterin adenylyltransferase activity	2.7.7.75|Molybdopterin adenylyltransferase	
585034.5	Escherichia coli IAI1	NC_011741	PATRIC	CDS	fig|585034.5.peg.9	ECIAI1_0011	VBIEscCol26572_0009	B7M0A7	9927	10493	-	567	yaaH	Succinate-acetate/proton symporter SatP	FIG00904540	PLF_561_00002858	PGF_00043742			
