genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	rRNA	fig|762984.10.rna.63	SAMN05444376_0001			1	94	+	94		5S rRNA # 5S ribosomal RNA - 5 prime truncation						
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	repeat_region	fig|762984.10.repeat.28				1	156	+	156		repeat region						
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2665	SAMN05444376_0002			365	853	+	489		hypothetical protein	FIG01425465	PLF_816_00041982	PGF_04028083			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2666	SAMN05444376_0003			1056	1868	+	813		MotA/TolQ/ExbB proton channel family protein	FIG00002161	PLF_816_00001285	PGF_10384183			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2667	SAMN05444376_0004			1922	2527	+	606		Biopolymer transport protein ExbD/TolR	FIG00017761	PLF_816_00000941	PGF_05541499			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2668	SAMN05444376_0005			2542	3192	+	651		Biopolymer transport protein ExbD/TolR	FIG00017761	PLF_816_00000942	PGF_05541499			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2669	SAMN05444376_0006			3215	4030	+	816		putative TonB-dependent receptor	FIG00038726	PLF_816_00004217	PGF_10404334			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2670	SAMN05444376_0007			4041	4991	+	951		Putative phosphate ABC transporter, phosphate-binding component	FIG00936929	PLF_816_00008007	PGF_00043229			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2671	SAMN05444376_0008			5009	6442	+	1434		Tetratricopeptide repeat family protein	FIG01233114	PLF_816_00124249	PGF_00056372			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	tRNA	fig|762984.10.rna.64	SAMN05444376_0009			6592	6667	-	76		tRNA-Met-CAT						
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2672	SAMN05444376_0010			6900	7484	+	585		Transcriptional regulator, AcrR family	FIG00554417	PLF_816_00000957	PGF_07182652			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2673	SAMN05444376_0011			7514	8260	+	747		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG	FIG00621114	PLF_816_00000468	PGF_08693885	GO:0004316|3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	1.1.1.100|3-oxoacyl-[acyl-carrier-protein] reductase	00061|Fatty acid biosynthesis;00780|Biotin metabolism
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2674	SAMN05444376_0012			8280	8951	+	672		RNA pseudouridylate synthase, group 1	FIG00042847	PLF_816_00000687	PGF_10289069			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2675	SAMN05444376_0013			8974	11511	+	2538		ApeH acylamino-acid-releasing enzyme (EC 3.4.19.1)	FIG01362387	PLF_816_00001613	PGF_00061794		3.4.19.1|Acylaminoacyl-peptidase	
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2676	SAMN05444376_0014			11950	13308	-	1359		RteB, two-component system response regulator	FIG01386109	PLF_816_00000726	PGF_00049257			
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2677	SAMN05444376_0015			13401	14240	+	840		Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	FIG01955868	PLF_816_00033787	PGF_09954313	GO:0003755|peptidyl-prolyl cis-trans isomerase activity	5.2.1.8|Peptidylprolyl isomerase	
762984.10	Bacteroides clarus YIT 12056	FQWK01000001	PATRIC	CDS	fig|762984.10.peg.2678	SAMN05444376_0016			14244	15485	+	1242		FIG015547: peptidase, M16 family	FIG01315555	PLF_816_00001037	PGF_10453082			
