genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.1				1	258	+	258		hypothetical protein		PLF_1506553_00110105	PGF_00361825			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	repeat_region	fig|208479.10.repeat.1				3	3059	+	3057		repeat region						
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.2	C5Z06_00005			286	447	+	162		hypothetical protein		PLF_1506553_00109399	PGF_11637941			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.3				482	928	+	447		Dipeptide ABC transporter, permease protein DppB (TC 3.A.1.5.2)	FIG01954097	PLF_1506553_00064553	PGF_00822481			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.4	C5Z06_00010			1057	1446	+	390		hypothetical protein	FIG01954097	PLF_1506553_00108525	PGF_12004076			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.5	C5Z06_00015			1443	2357	+	915		Dipeptide ABC transporter, permease protein DppC (TC 3.A.1.5.2)	FIG00006691	PLF_1506553_00006978	PGF_05847461			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000001	PATRIC	CDS	fig|208479.10.peg.6				2372	2998	+	627		Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	FIG00002049	PLF_1506553_00065286	PGF_09990804			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	repeat_region	fig|208479.10.repeat.2				1	6139	+	6139		repeat region						
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.7				2	604	+	603		hypothetical protein		PLF_1506553_00112622	PGF_00665172			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.8				601	831	+	231		hypothetical protein		PLF_1506553_00108955	PGF_00665172			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.9				877	1116	+	240		hypothetical protein		PLF_1506553_00108475	PGF_00665172			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.10				1191	1490	+	300		hypothetical protein		PLF_1506553_00112168	PGF_00665172			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.11				1686	2525	+	840		hypothetical protein		PLF_1506553_00109662	PGF_08225224			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.12	C5Z06_00030			2615	2836	+	222		hypothetical protein		PLF_1506553_00065161	PGF_08225224			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.13	C5Z06_00035			2848	3381	+	534		hypothetical protein		PLF_1506553_00040213	PGF_01997783			
208479.10	[Clostridium] bolteae strain ATCC BAA-613	PUEM01000002	PATRIC	CDS	fig|208479.10.peg.14	C5Z06_00040			3390	5768	+	2379		hypothetical protein	FIG00638284	PLF_1506553_00025038	PGF_01988792			
