genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.1				3	854	+	852		hypothetical protein		PLF_990721_00004846	PGF_11318361			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.2				886	1020	+	135		hypothetical protein		PLF_990721_00004917	PGF_11309281			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.3				1083	3038	+	1956		Excinuclease ABC subunit B	FIG00000146	PLF_990721_00000359	PGF_00950554			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.4				3104	4108	-	1005		hypothetical protein		PLF_990721_00001610	PGF_07213683			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.5				4190	4495	+	306		PHP domain-containing protein		PLF_990721_00005005	PGF_12012620			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.6				4516	7374	+	2859		Excinuclease ABC subunit A	FIG00000147	PLF_990721_00000358	PGF_04041316			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.7				7624	8382	+	759		hypothetical protein		PLF_990721_00005153	PGF_11326956			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.8				8379	8522	+	144		hypothetical protein		PLF_990721_00004045	PGF_10965401			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.9				8555	8677	+	123		hypothetical protein		PLF_990721_00004856	PGF_11569225			
626937.8	Christensenella minuta strain DSM 22607	MAIR01000001	PATRIC	CDS	fig|626937.8.peg.10				8688	9203	-	516		hypothetical protein		PLF_990721_00005444	PGF_11385904			
