genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.1	BLIJ_0001	VBIBifLon71229_0001	B7GSF9	1	1503	+	1503		Chromosomal replication initiator protein DnaA	FIG00000441	PLF_1678_00000508	PGF_00876106			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	source					1	2828958	+	2828958								
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.2	BLIJ_0003	VBIBifLon71229_0002	B7GSG1	2238	3362	+	1125		DNA polymerase III beta subunit (EC 2.7.7.7)	FIG00066425	PLF_1678_00042610	PGF_06473395	GO:0003887|DNA-directed DNA polymerase activity	2.7.7.7|DNA-directed DNA polymerase	00230|Purine metabolism;00240|Pyrimidine metabolism
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.3	BLIJ_0004	VBIBifLon71229_0003	B7GSG2	3390	4628	+	1239		DNA recombination and repair protein RecF	FIG00000412	PLF_1678_00000523	PGF_10387199			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.4	BLIJ_0005	VBIBifLon71229_0004	B7GSG3	4625	5095	+	471		Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	FIG00403940	PLF_1678_00001605	PGF_00067726			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.5	BLIJ_0006	VBIBifLon71229_0005	E8MML3	5276	7366	+	2091		DNA gyrase subunit B (EC 5.99.1.3)	FIG00028203	PLF_1678_00000313	PGF_06703483	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.6	BLIJ_0007	VBIBifLon71229_0006	B7GSG5	7434	10085	+	2652		DNA gyrase subunit A (EC 5.99.1.3)	FIG00000080	PLF_1678_00000163	PGF_03272313	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.7	BLIJ_0008	VBIBifLon71229_0007	B7GSG6	10155	10721	+	567		FIG187021: hypothetical protein	FIG00735262	PLF_1678_00001398	PGF_00003705			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.8	BLIJ_0009	VBIBifLon71229_0008	E8MML6	11397	12788	+	1392		archaeal ATPase, fused to C-terminal DUF234 domain	FIG00054476	PLF_1678_00001376	PGF_01124892			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.9	BLIJ_0010	VBIBifLon71229_0009	B7GSG8	12849	12962	-	114		hypothetical protein	FIG00638284	PLF_1678_00004891	PGF_10382746			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.10	BLIJ_0011	VBIBifLon71229_0010	B7GSG9	13224	14570	-	1347		NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	FIG00129130	PLF_1678_00000412	PGF_00024831	GO:0004354|glutamate dehydrogenase (NADP+) activity	1.4.1.4|Glutamate dehydrogenase (NADP(+))	00250|Alanine, aspartate and glutamate metabolism;00330|Arginine and proline metabolism;00910|Nitrogen metabolism
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.11	BLIJ_0012	VBIBifLon71229_0011	B7GSH0	14946	15236	-	291		hypothetical protein	FIG00008080	PLF_1678_00006403	PGF_08076198			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.12	BLIJ_0013	VBIBifLon71229_0012	B7GSH1	15233	15511	-	279		Antitoxin DinJ (binds YafQ toxin)	FIG00002504	PLF_1678_00005664	PGF_09663001			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.13	BLIJ_0014	VBIBifLon71229_0013	E8MMM1	16000	16338	+	339		hypothetical protein	FIG01331389	PLF_1678_00005874	PGF_08289051			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.14	BLIJ_0015	VBIBifLon71229_0014	E8MMM2	16343	16738	-	396		Transposase	FIG01306568	PLF_1678_00005962	PGF_00930317			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.15	BLIJ_0016	VBIBifLon71229_0015	B7GSH3	17603	17722	+	120		hypothetical protein		PLF_1678_00044021	PGF_00658903			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.16	BLIJ_0017	VBIBifLon71229_0016	E8MMM4	18144	18272	-	129		hypothetical protein	FIG00638284	PLF_1678_00042210	PGF_03139763			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	tRNA	fig|391904.8.rna.1		VBIBifLon71229_r001		19111	19183	-	73		tRNA-Ala-TGC						
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	tRNA	fig|391904.8.rna.2	BLIJ_tRNA02	VBIBifLon71229_r002		19226	19299	-	74		tRNA-Ile-GAT						
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.17	BLIJ_0018	VBIBifLon71229_0017	B7GSH5	19786	21048	-	1263		2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	FIG00039528	PLF_1678_00005014	PGF_00732567	GO:0008663|2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	3.1.4.16|2',3'-cyclic-nucleotide 2'-phosphodiesterase	00230|Purine metabolism;00240|Pyrimidine metabolism
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.18	BLIJ_0019	VBIBifLon71229_0018	B7GSH6	21061	21837	-	777		ABC transporter, permease protein (cluster 12, methionine/phosphonates)	FIG00070611	PLF_1678_00005363	PGF_05593819			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.19	BLIJ_0021	VBIBifLon71229_0019	B7GSH7	21837	22640	-	804		ABC transporter, permease protein (cluster 12, methionine/phosphonates)	FIG00010478	PLF_1678_00005364	PGF_05593819			
391904.8	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	AP010889	PATRIC	CDS	fig|391904.8.peg.20	BLIJ_0020	VBIBifLon71229_0020	B7GSH8	22637	23401	-	765		ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates)	FIG00022568	PLF_1678_00005653	PGF_07387912			
